"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
179,"NCT02876159","The Immunologic Basis for an Attenuated Immune Response to the Influenza Vaccine After Repeated Annual Vaccination","FLU1","Active, not recruiting","No Results Available","Influenza","Biological: 2016-2017 Influenza Vaccine","Change in Serum Hemagglutination Inhibition (HAI) Titer|Change in Mean Level of Circulating Follicular Helper T (TFH) Cells|Change in Mean Levels of Plasmablasts|Change in Mean Levels of Memory B Cells|Change in Mean Levels of antigen-specific CD4 T Cells|Change in Mean Levels of antigen-specific CD8 T Cells","Emory University","All","20 Years to 30 Years   (Adult)","Phase 4","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00090196","July 2016","June 28, 2018","December 2018","August 23, 2016","null","August 24, 2017","The Hope Clinic of the Emory Vaccine Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02876159"
180,"NCT02874573","Tocilizumab in Schizophrenia",,"Recruiting","No Results Available","Schizophrenia|Psychotic Disorders","Drug: Tocilizumab|Drug: Normal saline","Change in Cognition|Change in Total Psychotic Symptoms","Brian Miller|Brain & Behavior Research Foundation|Augusta University","All","18 Years to 55 Years   (Adult)","Phase 1","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","944642","September 2016","June 2019","September 2019","August 22, 2016","null","July 9, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02874573"
181,"NCT02873741","New Strategies to Assess Anal Cancer Risk In Women","ANCAR-WIHS","Active, not recruiting","No Results Available","Human Immunodeficiency Virus (HIV)|Human Papillomavirus (HPV)","Procedure: Perianal and Digital Anorectal Exam|Procedure: Cervical Swabs|Procedure: Anal Swabs|Procedure: High Resolution Anoscopy (HRA)","Anal Cancer Risk Index Score|Presence of Anal hr-HPV","Emory University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","143","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00083800","July 2016","December 31, 2019","December 31, 2019","August 19, 2016","null","October 5, 2018","The Ponce Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02873741"
182,"NCT02861560","Case Series of Weekly Applications of dHACM in Treatment of Pressure Ulcers",,"Completed","No Results Available","Pressure Ulcer","Other: dHACM","Healing Rate|Adverse Events|Quality of Life","MiMedx Group, Inc.","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","10","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EFPU001","May 2016","May 2018","May 2018","August 10, 2016","null","August 24, 2018","Shepherd Spine Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02861560"
183,"NCT02851459","Tailoring of Vaccine-Focused Messages: Moral Foundations",,"Completed","No Results Available","Childhood Vaccinations","Behavioral: Baseline Survey|Behavioral: Pre-intervention Survey|Behavioral: Morally Congruent Message|Behavioral: Morally Non-Congruent Message|Behavioral: Control Message|Behavioral: Post-Intervention Survey","Overall change in attitude towards vaccines|Intent to have their children vaccinated","Emory University","All","18 Years to 50 Years   (Adult)","Not Applicable","850","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00087211","August 2016","October 2016","October 2016","August 1, 2016","null","March 10, 2017","Emory University School Of Public Health - Only Online Recruitment, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02851459"
184,"NCT02838355","Employing End Tidal Capnography in Continuous Flow Ventricular Assist Device Patients",,"Withdrawn","No Results Available","Cardiomyopathy|Cardiovascular Disease|Heart Disease","Device: Respiratory Depression Monitoring with End Tidal Carbon Dioxide Nasal Cannula (ETCO2- NC)|Other: Standard Non-invasive Respiratory Depression Monitoring","Respiratory Distressed assessed by Respiratory Distress Observation Scale (RDOS)|Dyspnea Rate assessed by the Dyspnea Visual Analogue Scale (DVAS)|Incidence of Respiratory Depression|Severity of Respiratory Depression","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00082202","October 2016","February 2018","February 2018","July 20, 2016","null","March 20, 2018","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02838355"
185,"NCT02834052","Pembrolizumab + Poly-ICLC in MRP Colon Cancer",,"Recruiting","No Results Available","Metastatic Colon Cancer|Solid Tumor","Drug: pembrolizumab|Drug: Poly-ICLC","Phase 1: Determine the maximum tolerated dose of poly-ICLC that can be combined with pembrolizumab|Phase 1 and 2: Determine the response rate of metastatic MRP colon cancer (that has progressed following two lines of therapy in the metastatic setting) to the combination of pembrolizumab and poly-ICLC|Determine the adverse event profile and dose limiting toxicities of the combination of pembrolizumab and poly-ICLC|Determine the progression free survival rate of recurrent metastatic MRP colon cancer to the combination of pembrolizumab and poly-ICLC|Determine the 20-week progression free survival rate of recurrent metastatic MRP colon cancer to the combination of pembrolizumab and poly-ICLC|Determine the overall survival rate for recurrent metastatic MRP colon cancer response to the combination of pembrolizumab and poly-ICLC|Determine the duration of response of recurrent metastatic MRP colon cancer to the combination of pembrolizumab and poly-ICLC","Asha Nayak|Oncovir, Inc.|Merck Sharp & Dohme Corp.|Augusta University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","42","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCC-16047","January 10, 2018","January 2020","January 2021","July 15, 2016","null","March 22, 2018","Georgia Cancer Center at Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02834052"
186,"NCT02833324","Fitbit for Postoperative Ambulation",,"Completed","No Results Available","Postoperative Care","Behavioral: Education regarding ambulation|Behavioral: Ambulation reminder alarms|Other: Fitbit","Comparison of number of steps taken between study arms|Comparison of time to first ambulation between study arms|Comparison of incidence of prolonged postoperative ileus between study arms|Comparison of incidence of pulmonary complications between study arms|Comparison of incidence of venous thromboembolism between study arms|Comparison of length of postoperative hospital stay between study arms","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00088864","July 2016","December 2016","December 2016","July 14, 2016","null","October 17, 2017","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02833324"
187,"NCT02832856","Testing the Effectiveness of the Full and Abridged Relationship Smarts Curriculum for 9th Grade Students",,"Enrolling by invitation","No Results Available","Attitudes|Knowledge","Behavioral: Healthy Relationship Education|Behavioral: Job Readiness Curriculum","Knowledge about Healthy Romantic Relationships|Romantic Relationship Stability|Conflict Management Skills|Exposure to Dating Violence|Sexual Risk Behaviors","Mathematica Policy Research, Inc.|Department of Health and Human Services","All","11 Years to 16 Years   (Child)","Not Applicable","1840","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MPR-500098-MTC","August 2016","August 2019","August 2019","July 14, 2016","null","November 3, 2016","More Than Conquerors, Inc., Conyers, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02832856"
188,"NCT02830997","Total Knee Arthroplasty Guidance Systems Study",,"Enrolling by invitation","No Results Available","Osteoarthritis, Knee|Arthroplasty, Replacement, Knee","Device: Stereotactic guidance system","Accuracy of total knee arthroplasty component placement in the coronal, axial, and sagittal planes measured by computed tomography scan|Skin-to-skin surgical time in minutes|Patient reported physical function measured by 2011 Knee Society Scoring System|Patient reported health related quality of life measured by the Veteran's Rand 12-item Health Survey|Patient reported satisfaction measured by 2011 Knee Society Scoring System","Ormonde M. Mahoney, MD|Stryker Orthopaedics|Athens Orthopedic Clinic, P.A.","All","45 Years and older   (Adult, Older Adult)","","150","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","AOC-OM-St-2015-026","July 12, 2016","March 1, 2018","December 31, 2019","July 13, 2016","null","December 19, 2017","Athens Orthopedic Clinic, P.A., Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02830997"
189,"NCT02830880","FACBC Prostate Therapy Response",,"Recruiting","No Results Available","Prostate Cancer","Drug: FACBC PET-CT|Other: MRI, CT, or Bone Scan","Change in Clinical Response assessed by FACBC PET scan|Change in Clinical Response Assessed by PSA|Change in Clinical Response Assessed by MRI|Change in Clinical Response Assessed by CT Scan|Change in Clinical Response Assessed by Bone Scan|Mortality Rate","Emory University|Blue Earth Diagnostics|Nihon Medi Physics","Male","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00073616","July 2016","December 2021","December 2021","July 13, 2016","null","July 31, 2018","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02830880"
190,"NCT02827383","Pilot Stair Climbing Study",,"Completed","No Results Available","Prediabetic State","Behavioral: Stair Climbing Frequency","Continuous Glucose Monitor|Heart Rate","Jennifer Gay|University of Illinois at Urbana-Champaign|University of Georgia","All","40 Years to 64 Years   (Adult)","Not Applicable","10","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","ID#STUDY00002685","February 2016","September 2016","September 2016","July 11, 2016","null","October 25, 2016","Clinical and Translational Research Unit, University of Georgia, Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02827383"
191,"NCT02807376","An Evaluation of a Powered Vascular Stapler in Laparoscopic Nephrectomies and Nephroureterectomies",,"Completed","No Results Available","Excision of Kidney","Device: Surgeon's 'standard of care' stapler|Device: Ethicon Powered Vascular Stapler","Incidence of hemostatic interventions/procedures completed for intra-operative bleeding related to the transection of the vessel|Incidence of hemostatic interventions /procedures completed for post-operative bleeding related to the transection of the vessel","Ethicon Endo-Surgery","All","18 Years and older   (Adult, Older Adult)","Not Applicable","250","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-002","July 5, 2016","August 23, 2017","August 23, 2017","June 21, 2016","null","February 7, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02807376"
192,"NCT02796859","Siltuximab in Schizophrenia",,"Recruiting","No Results Available","Schizophrenia|Psychotic Disorders","Drug: Siltuximab|Drug: normal saline","Change in Cognition|Change in Total Psychotic Symptoms","Brian Miller|Stanley Medical Research Institute|Augusta University","All","18 Years to 55 Years   (Adult)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","15T-005","May 2016","November 2019","May 2020","June 13, 2016","null","July 9, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02796859"
193,"NCT02796755","Effects of Riluzole on CNS Glutamate and Fatigue in Breast Cancer Survivors With High Inflammation",,"Recruiting","No Results Available","Inflammation|Fatigue","Drug: Riluzole|Drug: Placebo","Change in Central Nervous System (CNS) glutamate measured by Magnetic Resonance Spectroscopy (MRS) between riluzole and placebo arms|Change in score of the Multidimensional Fatigue Inventory (MFI) between riluzole and placebo arms|Change in score of the Promise-Fatigue Short Form (PROMIS)","Emory University","Female","21 Years to 65 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IRB00086271","April 2016","November 2019","November 2019","June 13, 2016","null","June 7, 2018","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02796755"
